ID,Date,Time,Headline,News,Source,Field,Reaction/Sentiment,Polarity,Subjectivity
99248,2002-04-02,00:00:00,Obama Lays Wreath at Arlington National Cemetery,Obama Lays Wreath at Arlington National Cemetery. President Barack Obama has laid a wreath at the Tomb of the Unknowns to honor,online_post_1637,Politics,0.33001243280000003,0.0,0.0
10423,2008-09-20,00:00:00,A Look at the Health of the Chinese Economy,"Tim Haywood, investment director business-unit head for fixed income at Gam, discusses the China beige book and the state of the economy.",new_channel_175,Finance,0.5173969877,0.1,0.2
18828,2012-01-28,00:00:00,Nouriel Roubini: Global Economy Not Back to 2008,"Nouriel Roubini, NYU professor and chairman at Roubini Global Economics, explains why the global economy isn't facing the same conditions",new_channel_175,Finance,0.4392565892,0.0,0.041666666666666664
27788,2015-03-01,00:06:00,Finland GDP Expands In Q4,"Finland's economy expanded marginally in the three months ended December, after contracting in the previous quarter, preliminary figures from Statistics Finland showed Monday. ",,Finance,0.4497741132,-0.16666666666666666,0.16666666666666666
27789,2015-03-01,00:11:00,"Tourism, govt spending buoys Thai economy in January","Tourism and public spending continued to boost the economy in January, in light of contraction in private consumption and exports, according to the Bank of Thailand data. ",new_channel_1500,Finance,0.5129066712,0.13333333333333333,0.38055555555555554
27790,2015-03-01,00:19:00,Intellitec Solutions to Host 13th Annual Spring Microsoft Dynamics User Group,"Over 100 attendees expected to see latest version of Microsoft Dynamics SL and Dynamics GP (PRWeb February 29, 2016) Read the full story at http://www.prweb.com/releases/2016/03/prweb13238571.htm ",new_channel_1126,Tech,0.5943675681,0.425,0.7250000000000001
80690,2016-02-28,14:03:00,"Monday, 29 Feb 2016","RAMALLAH, February 25, 2016 (WAFA) - Palestine Liberation Organization’s Sectretary-General Saeb Erekat Thursday expressed his concerns over Kenyan President Uhuru Kenyatta’s visit to Jerusalem and the Jordan Valley. ",new_channel_1,International,0.34778536439999996,0.0,0.0
80762,2015-03-01,00:45:00,"Obama, stars pay a musical tribute to Ray Charles","First lady Michelle Obama speaks in the State Dinning Room at the White House in Washington, Wednesday, Feb. 24, 2016, during an interactive student workshop on the musical legacy of Ray Charles , where students from 10 schools and community organizations from across the country participate as part of the &quot;In Performance at the White House&quot; series. ",journal_315,Politics,0.5790427005,0.0625,0.08333333333333333
80771,2015-03-01,01:20:00,Fire claims more than 100-year-old barn in Hancock County,A Hancock County man lost a barn early Monday morning that had been in his family more than 100 years. ,journal_1833,International,0.3494400817,0.3,0.4
27803,2015-03-01,01:32:00,Microsoft's new Windows 10 ad targets Apple,"New Delhi, Feb.29 : Technology giant Microsoft has targeted its rival Apple in its new series of ads focusing on Windows 10, gross bugs, and the Windows machines. ",new_channel_1048,Tech,0.4319148278,0.06818181818181818,0.4772727272727273
27813,2015-03-01,02:14:00,Microsoft Project Centennial seen with “universal” desktop Office,"Microsoft may have burned off one bridge, but it is still building a different, and perhaps more critical build. Redmond has officially declared Project Astoria, the bridge that would let Android developers easily port their apps to Windows 10, dead but Project Centennial seems to be very much alive and kicking. In fact, it might have an rather ambitious demo … Continue reading ",journal_1341,Tech,0.6109562278,0.1547619047619048,0.6119047619047618
27812,2015-03-01,02:15:00,Microsoft sneaks onto Android while Android sneaks onto Windows,"The platform battles are back MWC16 +Analysis Two parallel trends bubbled away at MWC this year – but without getting much attention. When Android and Microsoft converge, it’s going to be the next big platform battle, and one Microsoft can’t afford to lose.… ",new_channel_1534,Tech,0.6297513486,0.04,0.06000000000000001
27838,2015-03-01,02:16:00,Greek economy grows 0.1 pct q/q in fourth quarter,"Greece's economy expanded by 0.1 percent in last year's final quarter versus a previously estimated 0.6 contraction, data by the country's statistics service ELSTAT showed on Monday. The data showed the ",online_post_1228,Finance,0.29927775149999997,-0.05555555555555555,0.41111111111111115
27811,2015-03-01,02:18:00,Big data and the Internet of Things to add £322BN to UK economy by 2020 – report,"Big data analytics and the Internet of Things (IoT) are expected to add £322 billion to the UK economy from 2015 to 2020, according to new research by the Centre for Economics and Business Research (Cebr). ",journal_722,Finance,0.5525204202,0.06818181818181818,0.2772727272727273
27814,2015-03-01,02:18:00,"HoloLens dev edition costs £2,000 with new Conker game","Microsoft’s AR headset is being made available to developers, along with three new games – including one based on Conker’s Bad Fur Day. ",journal_969,Tech,0.6397876317,-0.05454545454545449,0.507070707070707
27823,2015-03-01,02:54:00,Microsoft Word for Mac 2016 review: A subtle yet massive leap forward in usability and features,"What is A + B? Welcome to our review of Word for Mac 2016, updated on 29 Feb 2016. ",online_post_897,Tech,0.43491150240000004,0.8,0.9
27827,2015-03-01,03:10:00,Microsoft Band 2 gains appeal with lower price,"The Microsoft Band 2 hit the market in late 2015 and looked much better to the eye than the original wearable from Microsoft. The biggest downside to that wearable was the price tag for many people, when it originally debuted the Band 2 sold for $249.99. Microsoft is aiming to make its device more appealing to buyers not by adding … Continue reading ",journal_1341,Tech,0.6011414577,0.35000000000000003,0.5857142857142856
27828,2015-03-01,03:10:00,Microsoft prepares to unleash Office 2016 full desktop apps on Windows Store?,"It seems that Microsoft is getting ready to push out a Project Centennial version of the Office 2016 suite on the Windows Store – or at least, a test version is now available, which certainly points to the possibility of this happening before long. Project Centennial focuses on allowing developers to convert their Win32 desktop apps to ones which are compatible with the Windows Store and ",journal_1435,Tech,0.4505126953,0.09285714285714287,0.4542857142857143
27826,2015-03-01,03:15:00,Greek economy shrank 0.3 percent last year but expanded towards end,"Greece's economy expanded slightly in the last three months of 2015, the country's statistics service said on Monday, revising flash estimates of a 0.6 percent decline and pointing to a smaller full-year ",online_post_1228,Finance,0.4819701457,-0.05555555555555555,0.24444444444444446
27839,2015-03-01,03:15:00,Sweden's economy is on fire — but here's why that's terrible news for the country's central bank,"Sweden's economy is on a massive tear, but for the country's central bank, that's actually pretty awful news. Sweden's economy grew by 4.5% on an annual basis during the fourth quarter of 2015, according to figures published on Monday. On the surface, a major, well-established Western economy growing by 4.5% in a year is absolutely fantastic, but for Sweden, and its central bank, the Riksbank ",online_post_220,Finance,0.4546848746,-0.03194444444444444,0.5444444444444445
27840,2015-03-01,03:16:00,The Microsoft Band 2 now costs just $175,"The Microsoft Band 2 may have its problems, and although it’s better built and more stylish than the original; many won’t have wanted to pay $250 for the sensor-packed wearable. Microsoft has taken pity on us all by reducing the Band 2’s price, and rather significantly too. Pop over to the Microsoft Store right now, and it’s yours for $175. Interestingly, the $75 reduction comes days after a ",journal_416,Tech,0.4456201075,0.3817460317460317,0.5956349206349206
27837,2015-03-01,03:22:00,Greek economy shrank 0.3 percent last year but expanded towards end,"By George Georgiopoulos ATHENS (Reuters) - Greece's economy expanded slightly in the last three months of 2015, the country's statistics service said on Monday, revising flash estimates of a 0.6 percent ",online_post_1228,Finance,0.5441158065999999,-0.08333333333333333,0.11666666666666667
27853,2015-03-01,03:28:00,China cuts reserve requirements in bid to boost economy,"China's central bank on Monday cut the proportion of funds banks must set aside as reserves, in Beijing's latest attempt to tackle slowing growth in the world's second largest economy. The People's Bank of China (PBoC) said in a statement it would trim the so-called &quot;reserve requirement ratio&quot; (RRR) for financial institutions by 0.50 percentage points, freeing up more funds for them to lend. The ",journal_27,Finance,0.6419552575,0.2,0.32999999999999996
27854,2015-03-01,03:37:00,China cuts reserve requirements in bid to boost economy,"China's central bank on Monday cut the proportion of funds banks must set aside as reserves, in Beijing's latest attempt to tackle slowing growth in the world's second largest economy. The People's Bank of China (PBoC) said in a statement it would trim the so-called &quot;reserve requirement ratio&quot; (RRR) for financial institutions by 0.50 percentage points, freeing up more funds for them to lend. The ",journal_28,Finance,0.6019552575,0.2,0.32999999999999996
80805,2015-03-01,03:56:00,"Obama encouraging young people to learn math, science",President Barack Obama is launching a version of &quot;take your child to work day&quot; that's focused on America's science laboratories instead of its corporate workspaces. It's part of Obama's effort ,new_channel_107,Politics,0.5574487251,0.0,0.0
27862,2015-03-01,04:10:00,"Jaitley opens coffers for rural India, unveils another tax amnesty","New Delhi, Feb 29 (IANS) Focusing on rural economy and infrastructure with minor rebate for small taxpayers but amnesty for defaulters, Finance Minister Arun Jaitley on Monday unveiled a Rs.19.78 lakh crore ($300 billion) budget for 2016-17, earmarking more money for health, literacy and roads. The direct impact on taxpayers from the proposals announced during the 100-minute budget speech will ",online_post_683,Finance,0.692519243,0.07272727272727274,0.32575757575757575
80801,2015-03-01,04:18:00,"Obama Encouraging Young People to Learn Math, Science",President Barack Obama is launching a version of ,journal_1071,Politics,0.3723786414,0.0,0.0
27868,2015-03-01,05:07:00,Microsoft’s Other Mobile App Takeover: The Story of SwiftKey,"On February 2, Microsoft announced the acquisition of SwiftKey, a keyboard app developer. The Financial Times reported that Microsoft paid $250 million. ",journal_940,Tech,0.4915625882,0.0,0.0
27874,2015-03-01,05:18:00,"Jaitley opens coffers for rural India, unveils another tax amnesty","New Delhi, Feb 29 (IANS) Focusing on rural economy and infrastructure with minor rebate for small taxpayers but amnesty for defaulters, Finance Minister Arun Jaitley on Monday unveiled a Rs.19.78 lakh crore ($300 billion) budget for 2016-17, earmarking more money for health, literacy and roads. The focus on rural economy and the promise to double the income of farmers in five years came against ",journal_686,Finance,0.5939068862,0.048051948051948054,0.2220779220779221
27882,2015-03-01,05:18:00,"Jaitley opens coffers for rural India, unveils another tax amnesty","New Delhi, Feb 29 (IANS) Focusing on rural economy and infrastructure with minor rebate for small taxpayers but amnesty for defaulters, Finance Minister Arun Jaitley on Monday unveiled a Rs.19.78 lakh crore ($300 billion) budget for 2016-17, earmarking more money for health, literacy and roads. The focus on rural economy and the promise to double the income of farmers in five years came against ",journal_687,Finance,0.6239068862,0.048051948051948054,0.2220779220779221
27875,2015-03-01,05:30:00,Microsoft unveils a slew of new security services to secure the enterprise,Microsoft unleashed a number of new security services l […] ,online_post_1301,Tech,0.3748114342,0.13636363636363635,0.45454545454545453
28854,2016-02-28,19:17:00,Buffett: Politicians 'Dead Wrong' on Economy,Warren Buffett has a message for presidential candidates and others who are down on the U.S. economy: You are “dead wrong.” ,new_channel_1573,Finance,0.4321585583,-0.2851851851851852,0.5296296296296297
27883,2015-03-01,05:44:00,China cuts reserve requirements in bid to boost economy,"BEIJING: China’s central bank on Monday cut the proportion of funds banks must set aside as reserves, in Beijing’s latest attempt to tackle slowing growth in the world’s second largest economy. The People’s Bank of China (PBoC) said in a statement it would trim the so-called “reserve requirement ratio” (RRR) for financial institutions by 0.50 percentage points, freeing up more funds for them to ",new_channel_554,Finance,0.5003244266,0.2,0.32999999999999996
27888,2015-03-01,05:49:00,China's sharing economy generates USD298b in 2015,(MENAFN) Sharing economy platforms have produced a market worth of USD298 billion for China throughout the previous year as there're currently a total of 50mn sharing business prov ,online_post_884,Finance,0.4142308646,0.044444444444444446,0.33888888888888885
27889,2015-03-01,06:00:00,Microsoft reveals HoloLens hardware specs," Microsoft is letting developers pre-order the HoloLens development edition today, but it's also detailing exactly what's inside the headset. Microsoft has built an entire Windows 10 device into a headset, using a custom-built Microsoft Holographic Processing Unit (HPU) and an Intel 32 bit processor. Microsoft has a variety of sensors inside the HoloLens, including an inertial measurement unit ",online_post_1572,Tech,0.568453824,0.125,0.4375
27890,2015-03-01,06:00:00,These are the first apps and games for Microsoft's HoloLens," Microsoft is unveiling exactly what apps and games will ship on its HoloLens headset today. Developers will be able to start testing their own apps and games on March 30th once devices start shipping, but Microsoft is bundling seven apps / games on the HoloLens development edition to encourage developers to build more. It's a complex application, but its inclusion in the dev kit shows that ",online_post_1572,Tech,0.6314957271,0.31,0.5549999999999999
27891,2015-03-01,06:00:00,"Microsoft’s HoloLens developer kits available on March 30th for $3,000"," Microsoft is opening up pre-orders for HoloLens development edition today. &quot;Broad consumer availability is further down the line,&quot; says Microsoft's Alex Kipman, but today developers can start to pre-order the device for $3,000. Microsoft started applications for the development kits back in October, and the company says it will now invite developers to purchase the HoloLens development edition ",online_post_1572,Tech,0.6377894113,-0.051851851851851864,0.262962962962963
